constant,fit21_value,all30_ls_value,fit_minus_all30,rational_candidate,rational_error
A[K DeltaK],-0.00000000000005853285559339389060049027091022998486159374100412175317516130563729826,-0.00000000000002013292149597018738992678531923220641371600799072778025212983792838891,-0.00000000000003839993409742370321056348559099777844787773301339397292303146770890934,0/1,0.00000000000005853285559339389060049027091022998486159374100412175317516130563729826
A[K K_ww],0.005753968254778121881062925567169405535128783312347008643413774933256543,0.005753968254703217124792022520701099655535580063006262655672875140246485,0.00000000000007490475627090304646830587959320324934074598774089979301005793220254607,29/5040,0.0000000000008098679128089573132011515668748150583787546751598069030822410447456380
A[|grad K|^2],-0.0000000000001031020651137297211593983392369939448554794460809724079576640896526590,-0.00000000000003490371980949264189090292258795562885190079034321922270903277210437547,-0.00000000000006819834530423707926849541664903831600357865573775318524863131312656523,0/1,0.0000000000001031020651137297211593983392369939448554794460809724079576640896526590
A[K_w^2],0.005305454584338069063409809661955148587337326195498681878249150454045518,0.005305454583816679081018705059912851273409144762489507154294753423841961,0.0000000000005213899823911046020422973139281814330091747239543970302035573505972430,215335/40587474,0.00000000000000005384226054572894961096752881088853476488257703771816316426042223871506
A[S_wwww],0.0009920634922544881217170980540363771342502234136026693671714580694459598,0.0009920634921852075285714613410747677082201166377233660065843860262763966,0.00000000000006928059314563671296160942603010677587930336058707204316956324948542714,1/1008,0.0000000000001909960582250345619728850707581599215391773036793946159676319568007590
A[(tr S)_ww],-0.0000000000001383521785619704901128266816305042714475732593173960704295048708169531,-0.0000000000001005275668157197278240902909914516634490726444796965427291346654146511,-0.00000000000003782461174625076228873639063905260799850061483769952770037020540230198,0/1,0.0000000000001383521785619704901128266816305042714475732593173960704295048708169531
A[tr^2 S],0.00000000000002724958723554273102807485554924816816153462324288354380428047102844613,0.00000000000001948669566120470841832519575162902408218887562261556136890494255608767,0.000000000000007762891574338022609749659797619144079345747620267982435375528472358463,0/1,0.00000000000002724958723554273102807485554924816816153462324288354380428047102844613
B[K DeltaK],-0.008928571428350273801338040500219589653589125868782922634514073064636343,-0.008928571428452941885540878364416836615285294317898706550002983988074705,0.0000000000001026680842028378641972469616961684491157839154889109234383621754842901,-1/112,0.0000000000002211547700905309283518389178394455597885059369144980166686082855827182
B[K K_ww],0.01051587301380143088147395798228575215316575036390209307996576422713592,0.01051587301397142460111093979863356562860974514607346148398743290869079,-0.0000000000001699937196369818163478134754439947821713684040216686815548669120342702,1007180/95777117,0.00000000000000002359960724654222434374806623165527360095277007907867011818700280056718
B[|grad K|^2],-0.001686507936163298946860315172499111303797564406977495725789693785204999,-0.001686507936341259938125371664834346878556989991121633254808741756087352,0.0000000000001779609912650564923352355747594255841441375290190479708823533015034708,-17/10080,0.0000000000003446375610761927640088252041389435295304407821468140857081585450107450
