constant,fit21_high_order,all30_high_order,fit21_minus_all30,status,simple_rational,error_to_simple_rational
A[K DeltaK],5.32905557886219862376492207557562966922642255642134067858409e-22,1.56458865133134842652565803601555737921797437488020925603145e-21,-1.03168309344512856414916582846e-21,LOCKS_TO_SIMPLE_RATIONAL,0/1,1.56458865133134842652565803602e-21
A[K K_ww],0.00575396825396825396018606441044601726986917671021733393806019,0.00575396825396825396162282094548627697869629874343337955731642,-1.43675653504025970882712203322e-21,LOCKS_TO_SIMPLE_RATIONAL,29/5040,6.63114730848197698955766951053e-21
A[|grad K|^2],-6.96373962941586857256575775748817614852171382956126148510822e-22,5.48421241038649402192292235173738866485784621407495615412974e-22,-1.24479520398023625944886801092e-21,LOCKS_TO_SIMPLE_RATIONAL,0/1,5.48421241038649402192292235174e-22
A[K_w^2],0.00530545458378796097000702294790049629396641824527400327997463,0.00530545458378796096525381994390718631255352596896970714282133,4.7532030039933099814128922763e-21,UNRESOLVED_K_W_SQUARED,,
A[S_wwww],0.000992063492063492066213772615235505042606287219486468380950609,0.000992063492063492065350123320420058085276430730754242628756424,8.63649294815446957329856488732e-22,LOCKS_TO_SIMPLE_RATIONAL,1/1008,1.85805982835656602178436723869e-21
A[(tr S)_ww],1.68309197381040626713689874270454540496371989356564423328191e-22,5.01643222827963173419473519335650212020533312165296470692259e-22,-3.33334025446922546705783645065e-22,LOCKS_TO_SIMPLE_RATIONAL,0/1,5.01643222827963173419473519336e-22
A[tr^2 S],6.77141143793686321449000019028517588534661815531892676319166e-22,4.6821991788656643649939548952861294981805331867383099802818e-22,2.089212259071198849496045295e-22,LOCKS_TO_SIMPLE_RATIONAL,0/1,4.68219917886566436499395489529e-22
B[K DeltaK],-0.00892857142857142857310656916836469288455084533540656325559092,-0.00892857142857142857596753918419455300344390515626510658926905,2.86097001582986011889305982086e-21,LOCKS_TO_SIMPLE_RATIONAL,-1/112,4.53896775562312443201533372769e-21
B[K K_ww],0.0105158730158730158957180532693249426231400707637870780915218,0.0105158730158730158916097221736270938720340965686059471033683,4.10833109569784875110597419518e-21,LOCKS_TO_SIMPLE_RATIONAL,53/5040,1.85938491577540779990182235527e-20
B[|grad K|^2],-0.00168650793650793650688041671754249426033300253983175322135289,-0.00168650793650793651034201567638789682810876999127284140252382,3.46159895884540256777576745144e-21,LOCKS_TO_SIMPLE_RATIONAL,-17/10080,2.40550773987996032017226205476e-21
B[K_w^2],0.00336580109605796701133712751856907615108238282933443403537765,0.00336580109605796702443702370078313954551907069328247225964339,-1.30998961822140633944366878639e-20,UNRESOLVED_K_W_SQUARED,,
B[S_wwww],0.000793650793650793642742281500913593215155239647241629839334088,0.000793650793650793645143223132522713544214173575905157496250984,-2.40094163160912032905893392866e-21,LOCKS_TO_SIMPLE_RATIONAL,1/1260,5.65042766112808010657947721775e-21
B[(tr S)_ww],0.000396825396825396824589342788686203564330201504181349122371468,0.000396825396825396823666209685073174210882715639741471902540464,9.2313310361302935344748586444e-22,LOCKS_TO_SIMPLE_RATIONAL,1/2520,1.73061571175222261451410975708e-21
B[tr^2 S],-0.000198412698412698414491076393202608884127181506330074820854588,-0.000198412698412698413908409876021371401140976480628842399466788,-5.82666517181237482986205025701e-22,LOCKS_TO_SIMPLE_RATIONAL,-1/5040,1.20999717760867298844256378222e-21
C[K DeltaK],0.00839947089947089947183789297526553897524702577526424104227945,0.00839947089947089947362990858060314912182456643166538105296364,-1.7920156053376101465775406564e-21,LOCKS_TO_SIMPLE_RATIONAL,127/15120,2.73043768113224965092509553219e-21
C[K K_ww],-0.0420634920634920635067246880523405883458368216770437904001163,-0.042063492063492063503979997289076401360284233809901983053356,-2.74469076326418698555258786714e-21,LOCKS_TO_SIMPLE_RATIONAL,-53/1260,1.19165052255843378682207417464e-20
C[|grad K|^2],0.00234788359788359788281319617490675226336947677643643780391524,0.00234788359788359788496903515828581112068171836229119441148459,-2.15583898337905885731224158585e-21,LOCKS_TO_SIMPLE_RATIONAL,71/30240,1.37115156040221323708383476441e-21
C[K_w^2],-0.0319851600245051137341015543274956704664051663118052287178983,-0.0319851600245051137419843991483014802111262029853746718314936,7.88284482080580974472103667357e-21,UNRESOLVED_K_W_SQUARED,,
C[S_wwww],0.00317460317460317460860786299820555950096626443107774290098887,0.00317460317460317460713073118666377396931832975103858929756522,1.47713181154178553164793468004e-21,LOCKS_TO_SIMPLE_RATIONAL,1/315,3.95612801206059936614372657644e-21
C[(tr S)_ww],-0.00238095238095238095196654122861351828167665714472068021140174,-0.00238095238095238095140952075357643501373091337643136886610904,-5.57020475037083267945743768289e-22,LOCKS_TO_SIMPLE_RATIONAL,-1/420,9.71431627375945938650039004521e-22
C[tr^2 S],0.000198412698412698413867194543144910307026410345175594645934181,0.000198412698412698413500416987830399493563612875901254912962677,3.66777555314510813462797469274e-22,LOCKS_TO_SIMPLE_RATIONAL,1/5040,8.02004289417701080865200177489e-22
